gender,age,degree,educational_program,year_of_study,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor,academic_risk
male,16-17,bachelor,7m06107 media technologies,1 year,humanities,1-3 hours,less than 6 hours,average,no,full support,sometimes,very high,fully satisfied,sometimes,very important,9-15 hours,personal motivation,0
male,18-19,bachelor,6b06105 media technologies,1 year,technical sciences,1-3 hours,7-9 hours,average,no,partial support,rarely,high,fully satisfied,rarely,moderately important,2-8 hours,personal motivation,0
male,22-23,bachelor,6b06105 media technologies,1 year,computer sciences,1-3 hours,7-9 hours,average,no,full support,sometimes,average,rather dissatisfied,sometimes,important,less than 1 hour,financial situation,0
female,20-21,master,7m06105 computer science and engineering,2 year,computer sciences,less than 1 hour,less than 6 hours,average,"yes, full-time",no financial support,rarely,low,rather dissatisfied,never,moderately important,less than 1 hour,personal motivation,0
female,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,average,rather satisfied,rarely,moderately important,2-8 hours,financial situation,0
male,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,more than 4 hours,7-9 hours,high,no,full support,often,average,hard to say,rarely,moderately important,2-8 hours,family support,0
female,20-21,master,7m06105 computer science and engineering,1 year,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,high,hard to say,rarely,important,2-8 hours,financial situation,0
male,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2-8 hours,financial situation,0
female,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,rarely,average,not satisfied at all,never,not important,do not prepare,interest in the subject,1
female,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,rarely,average,hard to say,never,slightly important,do not prepare,financial situation,0
male,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,average,hard to say,sometimes,moderately important,2-8 hours,quality of teaching,0
male,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,often,important,2-8 hours,personal motivation,0
female,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",full support,often,high,rather satisfied,often,important,2-8 hours,personal motivation,0
male,22-23,master,7m06105 computer science and engineering,2 year,humanities,1-3 hours,7-9 hours,low,"yes, full-time",no financial support,never,low,rather dissatisfied,never,not important,do not prepare,financial situation,0
